,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,oranjestad,12.52,-70.03,28.0,78.0,20.0,8.7,AW,1595898569
1,norman wells,65.28,-126.83,20.0,52.0,75.0,5.1,CA,1595898569
2,abu kamal,34.45,40.92,34.78,12.0,0.0,3.64,SY,1595898569
3,ushuaia,-54.8,-68.3,1.0,80.0,40.0,11.8,AR,1595898524
4,coihaique,-45.58,-72.07,3.0,74.0,20.0,1.5,CL,1595898569
5,lagoa,39.05,-27.98,22.85,88.0,0.0,2.31,PT,1595898570
6,zhezkazgan,47.8,67.71,20.29,50.0,35.0,2.2,KZ,1595898570
7,albany,42.6,-73.97,32.78,70.0,5.0,2.4,US,1595898393
8,ukiah,39.15,-123.21,37.0,14.0,1.0,4.6,US,1595898570
9,rikitea,-23.12,-134.97,22.46,81.0,84.0,6.35,PF,1595898570
10,hermanus,-34.42,19.23,6.11,92.0,0.0,2.59,ZA,1595898571
12,victoria,22.29,114.16,30.56,70.0,100.0,3.58,HK,1595898564
13,hobart,-42.88,147.33,10.56,93.0,75.0,2.6,AU,1595898406
15,new norfolk,-42.78,147.06,9.44,92.0,49.0,1.32,AU,1595898451
16,port alfred,-33.59,26.89,12.47,74.0,0.0,3.8,ZA,1595898572
17,kodiak,57.79,-152.41,17.0,67.0,75.0,2.6,US,1595898573
18,kavaratti,10.57,72.64,27.74,82.0,100.0,6.1,IN,1595898375
19,cape town,-33.93,18.42,13.89,93.0,0.0,1.5,ZA,1595898573
20,carnarvon,-24.87,113.63,15.0,72.0,0.0,5.7,AU,1595898362
21,jamestown,42.1,-79.24,23.89,94.0,40.0,4.6,US,1595898385
22,petropavlovsk-kamchatskiy,53.05,158.65,24.0,53.0,69.0,2.0,RU,1595898574
23,busselton,-33.65,115.33,12.22,98.0,96.0,4.37,AU,1595898446
25,union,40.63,-74.27,32.22,43.0,1.0,4.93,US,1595898574
26,arraial do cabo,-22.97,-42.03,22.07,81.0,0.0,10.85,BR,1595898575
27,esperance,-33.87,121.9,12.0,93.0,46.0,5.1,AU,1595898575
28,saint-philippe,-21.36,55.77,20.0,88.0,79.0,1.5,RE,1595898575
29,ola,59.58,151.28,15.6,82.0,89.0,2.32,RU,1595898575
30,puerto ayora,-0.74,-90.35,18.89,97.0,75.0,0.45,EC,1595898566
31,mataura,-46.19,168.86,7.78,84.0,100.0,0.45,NZ,1595898479
32,khandbari,27.37,87.2,24.04,74.0,100.0,0.33,NP,1595898576
33,agua prieta,31.3,-109.57,25.0,60.0,100.0,2.24,MX,1595898576
34,vaini,-21.2,-175.2,23.0,88.0,75.0,6.2,TO,1595898576
35,klaksvik,62.23,-6.59,8.0,93.0,100.0,6.2,FO,1595898577
36,provideniya,64.38,-173.3,11.0,93.0,90.0,3.0,RU,1595898577
37,navalcarnero,40.29,-4.01,30.0,27.0,0.0,5.1,ES,1595898577
38,constitucion,-35.33,-72.42,7.68,61.0,0.0,4.6,CL,1595898577
39,qaanaaq,77.48,-69.36,6.54,62.0,0.0,0.88,GL,1595898452
40,bredasdorp,-34.53,20.04,3.0,93.0,0.0,0.63,ZA,1595898578
41,saint anthony,45.02,-93.22,27.0,42.0,1.0,5.7,US,1595898525
42,tasiilaq,65.61,-37.64,6.0,87.0,65.0,1.5,GL,1595898578
43,bluff,-46.6,168.33,7.78,84.0,100.0,0.45,NZ,1595898578
44,bhadrachalam,17.67,80.88,26.67,85.0,100.0,0.38,IN,1595898579
45,santa isabel do rio negro,-0.41,-65.02,23.77,91.0,30.0,0.5,BR,1595898579
46,port lincoln,-34.73,135.87,11.78,66.0,80.0,4.45,AU,1595898491
47,morlaix,48.58,-4.0,14.44,87.0,75.0,3.1,FR,1595898579
48,isiro,2.77,27.62,18.77,97.0,100.0,0.67,CD,1595898580
49,bethel,41.37,-73.41,28.33,65.0,1.0,3.68,US,1595898447
50,luena,-11.78,19.92,9.78,57.0,0.0,2.0,AO,1595898580
51,tuktoyaktuk,69.45,-133.04,18.0,68.0,75.0,7.7,CA,1595898580
52,severo-kurilsk,50.68,156.12,12.83,83.0,66.0,7.63,RU,1595898580
53,salalah,17.02,54.09,26.0,94.0,40.0,2.6,OM,1595898581
54,ribeira grande,38.52,-28.7,23.06,89.0,6.0,1.95,PT,1595898581
55,hasaki,35.73,140.83,29.0,79.0,75.0,5.7,JP,1595898480
56,gigante,2.39,-75.55,21.37,64.0,2.0,1.49,CO,1595898581
57,gweru,-19.45,29.82,6.76,87.0,0.0,4.42,ZW,1595898581
58,moron,-34.65,-58.62,8.33,50.0,100.0,3.6,AR,1595898458
59,rudnaya pristan,44.36,135.81,21.14,72.0,46.0,2.09,RU,1595898582
60,fairbanks,64.84,-147.72,15.0,82.0,90.0,3.1,US,1595898354
61,yellowknife,62.46,-114.35,17.0,93.0,75.0,5.1,CA,1595898474
62,lavrentiya,65.58,-171.0,9.39,80.0,88.0,6.68,RU,1595898582
63,stykkisholmur,65.08,-22.73,8.13,83.0,37.0,2.63,IS,1595898583
64,sayyan,15.17,44.32,14.93,81.0,100.0,3.0,YE,1595898583
65,kapaa,22.08,-159.32,29.0,70.0,20.0,10.3,US,1595898463
66,alekseyevsk,57.84,108.35,20.68,70.0,100.0,0.72,RU,1595898584
67,suzhou,31.31,120.62,28.89,68.0,100.0,1.68,CN,1595898584
68,port keats,-14.25,129.55,25.45,22.0,71.0,6.76,AU,1595898584
69,flinders,-34.58,150.86,16.67,88.0,98.0,3.13,AU,1595898499
70,hilo,19.73,-155.09,28.0,61.0,90.0,5.1,US,1595898584
71,namibe,-15.2,12.15,18.51,71.0,0.0,1.64,AO,1595898585
72,barrow,71.29,-156.79,4.0,80.0,90.0,11.8,US,1595898585
73,ilulissat,69.22,-51.1,6.0,87.0,97.0,1.5,GL,1595898585
74,ekibastuz,51.67,75.37,17.85,68.0,100.0,4.98,KZ,1595898502
75,lompoc,34.64,-120.46,19.44,68.0,0.0,7.2,US,1595898448
76,kingisepp,59.37,28.61,14.03,82.0,95.0,2.13,RU,1595898586
77,khatanga,71.97,102.5,11.31,58.0,0.0,2.55,RU,1595898586
78,charters towers,-20.1,146.27,18.83,31.0,0.0,6.3,AU,1595898586
79,nhulunbuy,-12.23,136.77,27.0,51.0,100.0,8.2,AU,1595898587
80,butaritari,3.07,172.79,28.46,79.0,100.0,4.94,KI,1595898587
81,mahajanga,-15.72,46.32,21.87,72.0,100.0,2.08,MG,1595898587
82,camopi,3.17,-52.32,23.17,96.0,100.0,1.01,GF,1595898587
83,west wendover,40.74,-114.07,34.0,16.0,1.0,3.6,US,1595898367
84,kiama,-34.68,150.87,16.67,92.0,99.0,3.58,AU,1595898588
85,hithadhoo,-0.6,73.08,27.91,79.0,100.0,5.56,MV,1595898588
86,vangaindrano,-23.35,47.6,15.53,85.0,2.0,2.15,MG,1595898588
87,mandalgovi,45.76,106.27,18.78,48.0,0.0,5.63,MN,1595898483
88,kruisfontein,-34.0,24.73,9.67,60.0,0.0,2.87,ZA,1595898589
89,georgetown,5.41,100.34,28.0,94.0,20.0,1.5,MY,1595898589
